id,ita-IT,ger-DE,eng-GB
66317d653d8f10e58626792e06ffcd92,"Lingue in cui è disponibile (un servizio, un evento, ...)","Sprachen, in denen ein Dienst oder eine Veranstaltung verfügbar ist","Languages in which it is available (a service, an event, ...)"
bcaa75a9389a49e7d5b15aff6e06ee30,Arabo,Arabisch,Arabic
d33c4fbb82092d20ca33202aca285681,Cinese,Chinesisch,Chinese
817d79aaba28bed36442065a7079cc8e,Francese,Französisch,French
31214c32779a45e38131d495e7c7338c,Giapponese,Japanisch,Japanese
06fdb6a4f3947046a633e2e703360000,Inglese,Englisch,English
dca8c16d1d0d724e98940b691f4612e4,Italiano,Italienisch,Italian
65593d0e1918540621ca35005fe01b14,Olandese,Niederländisch,Dutch
989060cbd1cad7e0eaf6bf86a5cf5f34,Portoghese,Portugiesisch,Portuguese
63265d88a7120a67df2081135cd1d21e,Russo,Russisch,Russian
0b973636800f0c111837558c7f44d9eb,Spagnolo,Spanisch,Spanish
446ed924406638a44b0be86f3e67b0dc,Tedesco,Deutsch,German
